Date,Consumption [kW],ECB 1801 150A [kW],ECB 1901 [kW]
2025-07-30 03:20:00,0,"11,219","3,462"
2025-07-30 03:15:00,0,"11,419","4,076"
2025-07-30 03:10:00,0,"11,345","4,033"
2025-07-30 03:05:00,0,"11,297","4,296"
2025-07-30 03:00:00,0,"11,114","4,207"
2025-07-30 02:55:00,0,"11,008","2,996"
2025-07-30 02:50:00,0,"11,285","3,214"
2025-07-30 02:45:00,0,"11,159","4,236"
2025-07-30 02:40:00,0,"11,188","4,087"
2025-07-30 02:35:00,0,"11,234","4,601"
2025-07-30 02:30:00,0,"11,178","2,953"
2025-07-30 02:25:00,0,"11,107","2,987"
2025-07-30 02:20:00,0,"11,316","4,247"
2025-07-30 02:15:00,0,"11,258","4,05"
2025-07-30 02:10:00,0,"11,765","4,406"
2025-07-30 02:05:00,0,"11,268","4,057"
2025-07-30 02:00:00,0,"11,288",3
2025-07-30 01:55:00,0,"11,28","3,221"
2025-07-30 01:50:00,0,"11,056","4,348"
2025-07-30 01:45:00,0,"11,333","4,324"
2025-07-30 01:40:00,0,"11,315","4,139"
2025-07-30 01:35:00,0,"11,146","2,941"
2025-07-30 01:30:00,0,"11,286","2,947"
2025-07-30 01:25:00,0,"11,336","4,354"
2025-07-30 01:20:00,0,"11,374","4,228"
2025-07-30 01:15:00,0,"11,084","4,412"
2025-07-30 01:10:00,0,"11,27","2,99"
2025-07-30 01:05:00,0,"11,249","2,994"
2025-07-30 01:00:00,0,"11,37","3,946"
2025-07-30 00:55:00,0,"11,276","4,241"
2025-07-30 00:50:00,0,"11,123","4,298"
2025-07-30 00:45:00,0,"10,988","2,962"
2025-07-30 00:40:00,0,"11,134","3,028"
2025-07-30 00:35:00,0,"11,376","4,261"
2025-07-30 00:30:00,0,"11,434","4,121"
2025-07-30 00:25:00,0,"11,424","4,301"
2025-07-30 00:20:00,0,"11,455","4,19"
2025-07-30 00:15:00,0,"11,654","2,989"
2025-07-30 00:10:00,0,"11,401","3,044"
2025-07-30 00:05:00,0,"11,507","4,426"
2025-07-30 00:00:00,0,"11,221","4,47"
2025-07-29 23:55:00,0,"11,13","4,151"
2025-07-29 23:50:00,0,"11,125","3,007"
2025-07-29 23:45:00,0,"11,22","3,05"
2025-07-29 23:40:00,0,"11,094","4,126"
2025-07-29 23:35:00,0,"11,006","4,189"
2025-07-29 23:30:00,0,"11,017","4,313"
2025-07-29 23:25:00,0,"11,052","2,952"
2025-07-29 23:20:00,0,"11,741","3,018"
2025-07-29 23:15:00,0,"11,376","4,355"
2025-07-29 23:10:00,0,"11,298","4,024"
2025-07-29 23:05:00,0,"11,552","4,67"
2025-07-29 23:00:00,0,"11,549","3,359"
2025-07-29 22:55:00,0,"11,372","2,999"
2025-07-29 22:50:00,0,"11,38","3,718"
2025-07-29 22:45:00,0,"11,623","4,284"
2025-07-29 22:40:00,0,"11,581","4,547"
2025-07-29 22:35:00,0,"11,209","2,968"
2025-07-29 22:30:00,0,"11,257","2,958"
2025-07-29 22:25:00,0,"11,532","3,76"
2025-07-29 22:20:00,0,"11,411","4,604"
2025-07-29 22:15:00,0,"11,61","3,794"
2025-07-29 22:10:00,0,"11,336","2,993"
2025-07-29 22:05:00,0,"11,248",3
2025-07-29 22:00:00,0,"11,396","3,001"
2025-07-29 21:55:00,0,"11,694","2,99"
2025-07-29 21:50:00,0,"11,608","6,544"
2025-07-29 21:45:00,0,"11,574","6,661"
2025-07-29 21:40:00,0,"12,05","5,08"
2025-07-29 21:35:00,0,"11,826","4,372"
2025-07-29 21:30:00,0,"11,633","4,33"
2025-07-29 21:25:00,0,"11,777","3,013"
2025-07-29 21:20:00,0,"11,809","3,023"
2025-07-29 21:15:00,0,"12,368","4,586"
2025-07-29 21:10:00,0,"11,801","4,391"
2025-07-29 21:05:00,0,"11,629","4,189"
2025-07-29 21:00:00,0,"11,485","3,026"
2025-07-29 20:55:00,0,"11,369","3,193"
2025-07-29 20:50:00,0,"11,503","4,16"
2025-07-29 20:45:00,0,"11,626","4,774"
2025-07-29 20:40:00,0,"11,458","3,498"
2025-07-29 20:35:00,0,"12,803","3,127"
2025-07-29 20:30:00,0,"11,543","4,009"
2025-07-29 20:25:00,0,"11,546","4,199"
2025-07-29 20:20:00,0,"11,342","4,096"
2025-07-29 20:15:00,0,"11,458","4,844"
2025-07-29 20:10:00,0,"11,31","3,008"
2025-07-29 20:05:00,0,"11,292","3,013"
2025-07-29 20:00:00,0,"11,296","3,85"
2025-07-29 19:55:00,0,"11,484","4,908"
2025-07-29 19:50:00,0,"11,32","4,661"
2025-07-29 19:45:00,0,"11,311","3,599"
2025-07-29 19:40:00,0,"11,413","4,186"
2025-07-29 19:35:00,0,"11,23","6,552"
2025-07-29 19:30:00,0,"11,276","8,029"
2025-07-29 19:25:00,0,"11,297","6,696"
2025-07-29 19:20:00,0,"11,513","7,001"
2025-07-29 19:15:00,0,"11,414","8,416"
2025-07-29 19:10:00,0,"11,512","8,774"
2025-07-29 19:05:00,0,"11,642","6,882"
2025-07-29 19:00:00,0,"11,603","6,935"
2025-07-29 18:55:00,0,"11,578","7,926"
2025-07-29 18:50:00,0,"11,668","8,956"
2025-07-29 18:45:00,0,"11,516","7,783"
2025-07-29 18:40:00,0,"11,442","7,646"
2025-07-29 18:35:00,0,"11,555","7,681"
2025-07-29 18:30:00,0,"11,626","9,028"
2025-07-29 18:25:00,0,"11,623","10,049"
2025-07-29 18:20:00,0,"11,708","7,955"
2025-07-29 18:15:00,0,"11,622","8,275"
2025-07-29 18:10:00,0,"11,466","9,931"
2025-07-29 18:05:00,0,"11,449","10,764"
2025-07-29 18:00:00,0,"11,342","10,337"
2025-07-29 17:55:00,0,"11,347","9,686"
2025-07-29 17:50:00,0,"11,544","10,292"
2025-07-29 17:45:00,0,"11,36","11,531"
2025-07-29 17:40:00,0,"11,434","11,498"
2025-07-29 17:35:00,0,"11,266","11,839"
2025-07-29 17:30:00,0,"11,294","11,137"
2025-07-29 17:25:00,0,"11,378","11,021"
2025-07-29 17:20:00,0,"11,639","11,178"
2025-07-29 17:15:00,0,"11,48","10,922"
2025-07-29 17:10:00,0,"11,515","10,757"
2025-07-29 17:05:00,0,"11,612","11,692"
2025-07-29 17:00:00,0,"11,474","12,936"
2025-07-29 16:55:00,0,"11,591","14,021"
2025-07-29 16:50:00,0,"11,449","14,558"
2025-07-29 16:45:00,0,"11,554","14,508"
2025-07-29 16:40:00,0,"11,506","14,564"
2025-07-29 16:35:00,0,"11,446","14,634"
2025-07-29 16:30:00,0,"11,57","13,968"
2025-07-29 16:25:00,0,"11,658","13,583"
2025-07-29 16:20:00,0,"11,57","14,658"
2025-07-29 16:15:00,0,"11,567","15,316"
2025-07-29 16:10:00,0,"11,561","15,228"
2025-07-29 16:05:00,0,"11,776","15,071"
2025-07-29 16:00:00,0,"11,932","14,687"
2025-07-29 15:55:00,0,"11,714","14,918"
2025-07-29 15:50:00,0,"11,641","15,308"
2025-07-29 15:45:00,0,"11,592","14,882"
2025-07-29 15:40:00,0,"11,663","15,19"
2025-07-29 15:35:00,0,"11,669","15,8"
2025-07-29 15:30:00,0,"11,741","16,68"
2025-07-29 15:25:00,0,"11,651","17,701"
2025-07-29 15:20:00,0,"11,471","18,454"
2025-07-29 15:15:00,0,"11,465","17,296"
2025-07-29 15:10:00,0,"11,698","17,686"
2025-07-29 15:05:00,0,"11,612","17,022"
2025-07-29 15:00:00,0,"11,621","16,883"
2025-07-29 14:55:00,0,"11,647","14,544"
2025-07-29 14:50:00,0,"12,145","15,047"
2025-07-29 14:45:00,0,"12,256","15,22"
2025-07-29 14:40:00,0,"11,933","15,12"
2025-07-29 14:35:00,0,"11,664","16,04"
2025-07-29 14:30:00,0,"11,562","16,518"
2025-07-29 14:25:00,0,"11,562","16,856"
2025-07-29 14:20:00,0,"11,348","15,788"
2025-07-29 14:15:00,0,"11,336","16,25"
2025-07-29 14:10:00,0,"11,73","15,397"
2025-07-29 14:05:00,0,"11,436","16,339"
2025-07-29 14:00:00,0,"11,335","15,335"
2025-07-29 13:55:00,0,"11,334","15,211"
2025-07-29 13:50:00,0,"11,364","15,275"
2025-07-29 13:45:00,0,"11,52","17,063"
2025-07-29 13:40:00,0,"11,702","16,607"
2025-07-29 13:35:00,0,"11,522","15,576"
2025-07-29 13:30:00,0,"11,34","15,013"
2025-07-29 13:25:00,0,"11,388","13,932"
2025-07-29 13:20:00,0,"11,314","14,215"
2025-07-29 13:15:00,0,"10,978","14,057"
2025-07-29 13:10:00,0,"10,937","13,45"
2025-07-29 13:05:00,0,"10,859","13,541"
2025-07-29 13:00:00,0,"11,004","13,367"
2025-07-29 12:55:00,0,"10,841","13,75"
2025-07-29 12:50:00,0,"10,958","14,963"
2025-07-29 12:45:00,0,"11,032","14,27"
2025-07-29 12:40:00,0,"11,234","13,303"
2025-07-29 12:35:00,0,"11,256","12,644"
2025-07-29 12:30:00,0,"11,194","12,508"
2025-07-29 12:25:00,0,"11,148","13,891"
2025-07-29 12:20:00,0,"11,3","12,984"
2025-07-29 12:15:00,0,"11,417","12,41"
2025-07-29 12:10:00,0,"11,231","12,574"
2025-07-29 12:05:00,0,"11,015","12,376"
2025-07-29 12:00:00,0,"11,033","13,478"
2025-07-29 11:55:00,0,"11,026","13,598"
2025-07-29 11:50:00,0,"11,424","14,582"
2025-07-29 11:45:00,0,"10,888","13,427"
2025-07-29 11:40:00,0,"10,808","14,386"
2025-07-29 11:35:00,0,"10,838","14,197"
